X_world,Y_world,R_world
-7.888198403607193931e+00,5.321025896447143850e+02,6.498137076220464881e-01
-1.867048824623104153e+01,5.247274586991242131e+02,6.585949739412634285e-01
-1.675406009940892460e+01,5.671883762465057544e+02,6.146886423451791703e-01
-9.121988443715833839e+00,5.858822584140593790e+02,6.059073760259623409e-01
-2.154939588882175627e+01,5.779597712615043292e+02,5.707823107490949122e-01
-1.671298912421119454e+01,5.820992105712224429e+02,2.722192558957222119e-01
-1.573543172461670103e+01,5.861245359690429950e+02,1.580627937459032073e-01
-9.262521712531706086e+00,5.811491298608298166e+02,2.107503916612042949e-01
-1.412963759539718289e+01,6.066964579910368229e+02,2.546567232572884976e-01
-1.351689560404726187e+01,5.982752313414958962e+02,2.107503916612042949e-01
-1.144941378345263416e+01,6.169026887451204857e+02,2.195316579804211243e-01
-1.601776544268892266e+01,6.032811763826017568e+02,1.405002611074695207e-01
-5.823178679029501481e+00,6.048274055807833065e+02,1.492815274266863779e-01
-1.435859678132863415e+01,6.294275635389004719e+02,1.492815274266863779e-01
-1.441363576220569520e+01,6.512126900718100160e+02,1.492815274266863779e-01
-1.496285934506546766e+01,6.622494911840034320e+02,1.229377284690358341e-01
-1.885257924447151368e+01,6.938477829658864948e+02,4.741883812377096219e-01
-1.976010335950255481e+01,6.908869076208765136e+02,4.302820496416254192e-01
-2.008224332725273342e+01,6.880888513341558337e+02,4.654071149184927925e-01
-2.148620780397772023e+01,6.884880691317001720e+02,5.005321801953601657e-01
-1.972640842790287152e+01,6.967843675222569573e+02,2.810005222149390414e-01
-2.116522311381567434e+01,6.995342538925166309e+02,2.810005222149390414e-01
-1.829742031976223515e+01,6.950951762950277271e+02,3.073443211725895852e-01
-1.789864071459116346e+01,6.962651101321728220e+02,3.161255874918064146e-01
-2.091538947546137450e+01,6.945173975543375491e+02,2.810005222149390414e-01
-1.893260694612847672e+01,7.045870091217669824e+02,2.019691253419874377e-01
-1.981251871281663668e+01,6.992812512131181393e+02,2.985630548533727557e-01
-1.896404660504927620e+01,7.008771581013481864e+02,2.370941906188548109e-01
-1.713994924903218831e+01,7.010281395757918972e+02,2.195316579804211243e-01
-2.082147542815727448e+01,7.015896134275125178e+02,1.580627937459032073e-01
-2.023895167691819807e+01,6.935115215093763936e+02,2.985630548533727557e-01
-1.889239893335317788e+01,6.945812257404743377e+02,2.283129242996379815e-01
-1.786660569683279931e+01,7.144758672842258420e+02,3.073443211725895852e-01
-1.713359524111795196e+01,7.148296996661880485e+02,3.336881201302401290e-01
-1.876172525033625149e+01,7.051268379514768867e+02,2.634379895765053270e-01
-1.815956187410898792e+01,7.192325813956908860e+02,2.985630548533727557e-01
-1.509362048450559612e+01,7.109296163034111942e+02,2.458754569380716681e-01
-1.767311727726056958e+01,7.088853308243280935e+02,2.985630548533727557e-01
-1.712403399043634522e+01,7.231418663360744858e+02,2.546567232572884976e-01
-1.824410941257753649e+01,7.133369038652316476e+02,2.370941906188548109e-01
-1.602785588324729105e+01,7.266767028093265708e+02,1.844065927035537511e-01
-1.637368957151503679e+01,7.149887418919133779e+02,2.370941906188548109e-01
-1.772516094061756320e+01,7.116520068113592288e+02,1.931878590227705805e-01
-1.713942466069656589e+01,7.275582510364998825e+02,2.458754569380716681e-01
-1.563316287990578779e+01,7.230358308220655772e+02,1.844065927035537511e-01
-1.990774463427045760e+01,7.104043254651134021e+02,2.810005222149390414e-01
-1.559194235161439757e+01,7.189239916303934024e+02,2.107503916612042949e-01
-1.596516800175999684e+01,7.108923083723200307e+02,2.107503916612042949e-01
-1.572656429645697429e+01,7.101206468011283732e+02,2.458754569380716681e-01
-1.658737978053375528e+01,7.049135188661285838e+02,3.161255874918064146e-01
-1.709973571712050955e+01,7.600237112268828241e+02,2.634379895765053270e-01
-1.481271478456076274e+01,7.705067306792742556e+02,2.107503916612042949e-01
-1.709624983081619121e+01,7.617134521234398790e+02,2.458754569380716681e-01
