X_world,Y_world,R_world
-1.346926087320341914e+01,6.667468961917637671e+02,3.600319190878906728e-01
-1.821544807658776932e+01,7.029863819792582262e+02,2.810005222149390414e-01
-1.915583422410617231e+01,7.084237607595905502e+02,2.897817885341558708e-01
-1.864166808948415266e+01,7.054975813980454404e+02,2.810005222149390414e-01
-1.616829624116857289e+01,7.123250274957132433e+02,2.546567232572884976e-01
-1.387496314635119710e+01,7.141203196142773777e+02,2.985630548533727557e-01
-1.218519877722863853e+01,7.008142287944993996e+02,2.370941906188548109e-01
-1.391977178896495637e+01,7.085139700739566706e+02,2.546567232572884976e-01
-2.848652697944447709e+01,7.131849999359756112e+02,1.931878590227705805e-01
-1.876563046465087226e+01,7.041797840444221492e+02,2.810005222149390414e-01
-1.671260079167055679e+01,7.110457751496318224e+02,2.546567232572884976e-01
-1.582299093168638748e+01,7.096453330181076353e+02,2.370941906188548109e-01
-1.419964530253055379e+01,7.334406793521189911e+02,2.985630548533727557e-01
-1.355290344568114591e+01,7.348456314389954969e+02,2.546567232572884976e-01
-1.511635160249615417e+01,7.339359344346814851e+02,2.370941906188548109e-01
-1.576042223943065146e+01,7.316336065801625637e+02,2.546567232572884976e-01
-2.498532543431544894e+01,7.189935480969903665e+02,2.283129242996379815e-01
-2.003803841476111813e+01,7.359722285351566597e+02,2.195316579804211243e-01
-1.553504668305167691e+01,7.401939362373773292e+02,2.897817885341558708e-01
-2.446005774469734106e+01,7.220793993428868589e+02,2.195316579804211243e-01
-1.564705236319436210e+01,7.388636237989089750e+02,2.722192558957222119e-01
-1.476553486387196301e+01,7.278372835730309589e+02,2.722192558957222119e-01
-1.441935916412364627e+01,7.373160021059444489e+02,2.985630548533727557e-01
-1.385726599575656870e+01,7.223163117526569295e+02,2.634379895765053270e-01
-1.599191805726783500e+01,7.280844149836196948e+02,2.195316579804211243e-01
-1.576074187722898756e+01,7.361965472388757235e+02,2.634379895765053270e-01
-1.540089189069183817e+01,7.409458764868028311e+02,1.844065927035537511e-01
-1.704420483969103373e+01,7.297560639902225148e+02,1.580627937459032073e-01
-1.591713479500726258e+01,7.412626251402471098e+02,2.370941906188548109e-01
-1.512772162469247661e+01,7.365549832166411761e+02,2.107503916612042949e-01
-1.953966465994863810e+01,7.296351152380856320e+02,1.668440600651200645e-01
-1.058093642810444379e+01,7.408794771303984135e+02,1.756253263843368939e-01
-1.488228298577807784e+01,7.237521279759419031e+02,2.810005222149390414e-01
-1.132235427674399553e+01,7.489990673390911979e+02,4.127195170031917049e-01
-9.818172085140028926e+00,7.656628373073647253e+02,2.458754569380716681e-01
-1.083042928674460370e+01,7.646838641463427848e+02,3.863757180455411611e-01
-1.269078602703026526e+01,7.580991646835918800e+02,2.634379895765053270e-01
-1.435448219258671720e+01,7.669311141062088382e+02,4.127195170031917049e-01
-1.430615276649999679e+01,7.456300600431250132e+02,3.424693864494569584e-01
-8.564393558692380282e+00,7.598148625777906773e+02,2.810005222149390414e-01
-9.753658944731995462e+00,7.618011288524869542e+02,2.722192558957222119e-01
-1.259950496398402819e+01,7.535213197995051360e+02,2.722192558957222119e-01
-1.252257164371519593e+01,7.516264950627313510e+02,3.073443211725895852e-01
-1.350759095605285864e+01,7.551653670285835460e+02,2.985630548533727557e-01
-1.145318895805311499e+01,7.576723484747669772e+02,2.810005222149390414e-01
-1.094949370458207305e+01,7.581290245892203075e+02,2.458754569380716681e-01
-8.333018449345182432e+00,7.634495862615659689e+02,2.370941906188548109e-01
-1.564365595968191336e+01,7.436405101160077038e+02,2.810005222149390414e-01
-7.477419648300474897e+00,7.627301060865785303e+02,2.897817885341558708e-01
-1.740270949946015122e+01,7.508711142786340815e+02,2.634379895765053270e-01
-9.935915751505914884e+00,7.664570324774687151e+02,2.195316579804211243e-01
-1.515663420460620259e+01,7.578716103810992308e+02,2.458754569380716681e-01
-1.186771080343577189e+01,7.554037986198349017e+02,2.458754569380716681e-01
-1.601974614951321385e+01,7.413249059263953313e+02,2.107503916612042949e-01
-6.182388516089850405e+00,7.678196173929574115e+02,1.931878590227705805e-01
-1.125519529085999615e+01,7.610027210208700126e+02,1.844065927035537511e-01
-2.063812109674483253e+01,7.456998647621547889e+02,1.668440600651200645e-01
-1.532015460730159617e+01,7.518220959465181750e+02,2.195316579804211243e-01
-1.098586021471615659e+01,7.586141439378853875e+02,1.931878590227705805e-01
-1.649263556718591772e+01,7.521083357677030108e+02,1.492815274266863779e-01
-1.991612974577235207e+01,7.493519157770734864e+02,2.195316579804211243e-01
-1.520795593165375514e+01,7.450594682042029717e+02,2.195316579804211243e-01
-1.529046116435679714e+01,7.585307269432239536e+02,1.756253263843368939e-01
-2.581011742223660832e+01,7.455346031955494936e+02,1.756253263843368939e-01
-1.763256573469923083e+01,7.554367800374882336e+02,2.107503916612042949e-01
-2.088777386445132933e+01,7.468943846690802957e+02,1.844065927035537511e-01
-2.063033553571839462e+01,7.466926377607168206e+02,1.405002611074695207e-01
-2.117514339920975530e+01,7.565195946823413351e+02,1.405002611074695207e-01
-1.786293053399007391e+01,7.537075448810525131e+02,1.668440600651200645e-01
-1.098499049675410788e+01,7.619749973495161157e+02,1.229377284690358341e-01
-1.376461162756582013e+01,7.500877144326441339e+02,2.283129242996379815e-01
-1.315050286461439732e+01,7.499363536329343560e+02,2.458754569380716681e-01
-2.202897539629439549e+01,7.493648588355904394e+02,1.931878590227705805e-01
-2.158241984392079615e+01,7.492958478129650075e+02,1.492815274266863779e-01
